5	5	5	5	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2
7	6	6	6	6	5	5	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3
8	7	7	7	7	6	6	5	5	5	4	4	4	4	4	4	4	4	3	3	3	3	3	3
9	8	8	8	7	7	6	6	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4
10	9	9	8	8	8	7	6	6	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4
11	10	9	9	9	8	7	7	6	6	6	5	5	5	5	5	5	4	4	4	4	4	4	4
11	11	10	10	9	9	8	7	7	6	6	6	5	5	5	5	5	5	5	4	4	4	4	4
12	11	11	10	10	10	8	8	7	7	6	6	6	6	5	5	5	5	5	5	5	5	4	4
13	12	11	11	11	10	9	8	7	7	7	6	6	6	6	5	5	5	5	5	5	5	5	5
14	13	12	12	11	11	9	8	8	7	7	7	6	6	6	6	6	5	5	5	5	5	5	5
14	13	13	12	12	11	10	9	8	8	7	7	7	6	6	6	6	6	5	5	5	5	5	5
15	14	13	13	12	12	10	9	8	8	7	7	7	7	6	6	6	6	6	6	5	5	5	5
15	15	14	13	13	12	10	9	9	8	8	7	7	7	7	6	6	6	6	6	6	5	5	5
16	15	14	14	13	13	11	10	9	8	8	8	7	7	7	7	6	6	6	6	6	6	6	5
17	16	15	14	14	13	11	10	9	9	8	8	8	7	7	7	7	6	6	6	6	6	6	6
17	16	15	15	14	13	12	10	10	9	8	8	8	7	7	7	7	7	6	6	6	6	6	6
18	17	16	15	14	14	12	11	10	9	9	8	8	8	7	7	7	7	7	6	6	6	6	6
18	17	16	16	15	14	12	11	10	10	9	9	8	8	8	7	7	7	7	7	6	6	6	6
19	18	17	16	15	15	13	11	11	10	9	9	8	8	8	8	7	7	7	7	7	7	6	6
20	18	17	17	16	15	13	12	11	10	10	9	9	8	8	8	8	7	7	7	7	7	7	6
20	19	18	17	16	16	13	12	11	10	10	9	9	9	8	8	8	8	7	7	7	7	7	7
21	19	18	17	17	16	14	12	11	11	10	10	9	9	8	8	8	8	7	7	7	7	7	7
21	20	19	18	17	17	14	13	12	11	10	10	9	9	9	8	8	8	8	7	7	7	7	7
22	20	19	18	18	17	15	13	12	11	11	10	10	9	9	9	8	8	8	8	7	7	7	7
22	21	20	19	18	17	15	13	12	11	11	10	10	9	9	9	8	8	8	8	8	7	7	7
23	22	20	19	19	18	15	14	13	12	11	10	10	10	9	9	9	8	8	8	8	8	7	7
24	22	21	20	19	18	16	14	13	12	11	11	10	10	9	9	9	9	8	8	8	8	8	7
24	23	21	20	19	19	16	14	13	12	12	11	10	10	10	9	9	9	9	8	8	8	8	8
25	23	22	21	20	19	16	15	13	13	12	11	11	10	10	10	9	9	9	8	8	8	8	8
25	24	22	21	20	20	17	15	14	13	12	11	11	10	10	10	9	9	9	9	8	8	8	8
26	24	23	22	21	20	17	15	14	13	12	12	11	11	10	10	10	9	9	9	9	8	8	8
27	25	23	22	21	20	18	16	14	13	13	12	11	11	10	10	10	9	9	9	9	9	8	8
27	25	24	23	22	21	18	16	15	14	13	12	12	11	11	10	10	10	9	9	9	9	9	8
28	26	25	23	22	21	18	16	15	14	13	12	12	11	11	10	10	10	10	9	9	9	9	9
28	27	25	24	23	22	19	17	15	14	13	13	12	12	11	11	10	10	10	10	9	9	9	9
29	27	26	24	23	22	19	17	16	14	14	13	12	12	11	11	11	10	10	10	9	9	9	9
30	28	26	25	24	23	19	17	16	15	14	13	12	12	12	11	11	10	10	10	10	9	9	9
30	28	27	25	24	23	20	18	16	15	14	13	13	12	12	11	11	11	10	10	10	10	9	9
31	29	27	26	25	24	20	18	17	15	14	14	13	12	12	12	11	11	11	10	10	10	10	9
32	30	28	27	25	24	21	18	17	16	15	14	13	13	12	12	11	11	11	10	10	10	10	10
32	30	29	27	26	25	21	19	17	16	15	14	13	13	12	12	12	11	11	11	10	10	10	10
33	31	29	28	26	25	22	19	18	16	15	14	14	13	13	12	12	11	11	11	11	10	10	10
34	32	30	28	27	26	22	20	18	17	16	15	14	13	13	12	12	12	11	11	11	10	10	10
35	32	30	29	28	26	22	20	18	17	16	15	14	14	13	13	12	12	12	11	11	11	10	10
35	33	31	30	28	27	23	20	19	17	16	15	15	14	13	13	12	12	12	11	11	11	11	10
36	34	32	30	29	28	23	21	19	18	16	16	15	14	14	13	13	12	12	12	11	11	11	11
37	34	32	31	29	28	24	21	19	18	17	16	15	14	14	13	13	13	12	12	12	11	11	11
38	35	33	31	30	29	24	22	20	18	17	16	15	15	14	14	13	13	12	12	12	11	11	11
39	36	34	32	31	29	25	22	20	19	17	16	16	15	14	14	13	13	13	12	12	12	11	11
40	37	35	33	31	30	25	23	21	19	18	17	16	15	15	14	14	13	13	12	12	12	12	11
41	38	36	34	32	31	26	23	21	19	18	17	16	16	15	14	14	13	13	13	12	12	12	12
42	39	36	34	33	31	27	23	21	20	18	17	17	16	15	15	14	14	13	13	13	12	12	12
43	40	37	35	34	32	27	24	22	20	19	18	17	16	15	15	14	14	14	13	13	13	12	12
44	41	38	36	34	33	28	25	22	21	19	18	17	16	16	15	15	14	14	13	13	13	12	12
45	42	39	37	35	34	28	25	23	21	20	18	18	17	16	15	15	14	14	14	13	13	13	12
46	43	40	38	36	35	29	26	23	21	20	19	18	17	16	16	15	15	14	14	14	13	13	13
47	44	41	39	37	35	30	26	24	22	20	19	18	17	17	16	16	15	15	14	14	13	13	13
49	45	42	40	38	36	30	27	24	22	21	20	19	18	17	16	16	15	15	14	14	14	13	13
50	47	44	41	39	37	31	27	25	23	21	20	19	18	17	17	16	16	15	15	14	14	14	13
52	48	45	42	40	38	32	28	25	23	22	20	19	19	18	17	16	16	15	15	15	14	14	14
53	50	46	44	41	39	33	29	26	24	22	21	20	19	18	17	17	16	16	15	15	15	14	14
55	51	48	45	43	40	34	29	26	24	23	21	20	19	18	18	17	17	16	16	15	15	14	14
57	53	49	46	44	42	34	30	27	25	23	22	21	20	19	18	18	17	16	16	16	15	15	14
60	55	51	48	45	43	35	31	28	26	24	22	21	20	19	19	18	17	17	16	16	15	15	15
62	57	53	50	47	44	36	32	28	26	24	23	22	21	20	19	18	18	17	17	16	16	15	15
65	59	55	51	48	46	37	33	29	27	25	23	22	21	20	19	19	18	17	17	17	16	16	15
68	62	57	53	50	47	39	33	30	27	26	24	23	22	21	20	19	18	18	17	17	16	16	16
72	65	60	56	52	49	40	34	31	28	26	25	23	22	21	20	20	19	18	18	17	17	16	16
76	68	63	58	54	51	41	35	32	29	27	25	24	23	22	21	20	19	19	18	18	17	17	16
82	72	66	61	56	53	42	36	33	30	28	26	24	23	22	21	20	20	19	19	18	18	17	17
88	77	69	63	59	55	44	38	34	31	28	27	25	24	23	22	21	20	20	19	19	18	18	17
95	82	73	67	62	58	46	39	35	31	29	27	26	24	23	22	22	21	20	20	19	18	18	18
101	87	77	70	65	60	47	40	36	32	30	28	26	25	24	23	22	21	21	20	19	19	18	18
106	93	82	74	68	63	49	42	37	33	31	29	27	26	25	24	23	22	21	21	20	19	19	18
111	98	87	78	72	66	51	43	38	35	32	30	28	27	25	24	23	23	22	21	21	20	19	19
115	103	92	83	75	70	53	45	40	36	33	31	29	27	26	25	24	23	22	22	21	21	20	20
